0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,18,1,1,1,1,1,1,1,1,-1.0,0.028,1.0,0.779,1.0,-1,1.0,
1,24,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.609,1.0,-1,1.0,
1,19,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,43,1,1,1,1,2,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,21,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.867,1.0,-1,1.0,
1,19,1,1,1,1,1,1,1,1,0.0,0.0,1.0,0.745,1.0,-1,1.0,
1,18,1,1,1,1,1,1,-1,1,0.0,0.0,1.0,0.739,1.0,-1,1.0,
1,26,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.614,1.0,-1,1.0,
1,19,1,1,1,1,1,1,1,1,-1.0,0.01,1.0,0.793,1.0,-1,1.0,
1,24,1,1,1,1,2,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,21,1,1,1,1,1,1,1,1,-1.0,0.145,1.0,0.844,1.0,-1,1.0,
1,22,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.685,1.0,-1,1.0,
1,20,1,1,1,1,1,1,1,1,-1.0,0.078,1.0,0.891,1.0,-1,1.0,
1,24,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,32,1,1,1,1,1,1,1,1,-1.0,0.054,1.0,0.809,1.0,-1,1.0,
1,27,1,1,1,1,1,1,1,1,-1.0,0.06,1.0,0.807,1.0,-1,1.0,
1,30,1,1,1,1,1,1,1,1,-1.0,0.07,1.0,0.793,1.0,-1,1.0,
1,25,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.817,1.0,-1,1.0,
1,100,1,1,1,1,2,1,1,1,-1.0,0.067,1.0,0.835,1.0,-1,1.0,
1,25,1,1,1,1,1,1,1,1,-1.0,0.063,1.0,0.822,1.0,-1,1.0,
1,36,1,1,1,1,1,1,1,1,-1.0,0.085,1.0,0.79,1.0,-1,1.0,
1,27,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.755,1.0,-1,1.0,
1,24,1,1,1,1,1,1,1,1,0.0,0.0,1.0,0.743,1.0,-1,1.0,
